                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.645,                 1.1921,                 1.1738,                0.62565,                0.55192,                0.57307,                0.35603,                 1.2709,                0.77577,                 1.0252,              0.0033303,              0.0033303,              0.0033303
                      1,                 1.4215,                0.87046,                 1.0116,                0.78186,                0.63171,                0.70885,                  0.471,                 1.0636,                0.78059,                0.97365,              0.0066197,              0.0066197,              0.0066197
                      2,                 1.3804,                0.85365,                0.97276,                0.82945,                 0.7241,                0.77764,                 0.5395,                0.97222,                0.68578,                0.92029,               0.009865,               0.009865,               0.009865
                      3,                   1.27,                0.77009,                0.94296,                0.86367,                0.74245,                0.80989,                0.59093,                 0.8962,                0.55218,                0.90124,               0.009802,               0.009802,               0.009802
                      4,                 1.0979,                 0.6682,                0.90746,                0.87414,                0.76039,                0.82707,                0.61523,                0.84802,                0.53103,                0.87152,               0.009802,               0.009802,               0.009802
                      5,                 1.0074,                0.61493,                0.89272,                0.87286,                0.79391,                0.84156,                0.64235,                0.74443,                0.47423,                0.86671,               0.009736,               0.009736,               0.009736
                      6,                0.94812,                0.57776,                0.87695,                 0.8859,                0.79798,                0.84797,                0.67769,                 0.6397,                0.42632,                0.86165,                0.00967,                0.00967,                0.00967
                      7,                0.90573,                0.55708,                0.86983,                0.88224,                0.80071,                 0.8516,                0.66307,                0.68012,                0.43434,                0.85664,               0.009604,               0.009604,               0.009604
                      8,                0.85663,                0.53379,                0.85782,                0.89905,                0.81271,                0.86125,                0.70355,                 0.5725,                0.39354,                0.84054,               0.009538,               0.009538,               0.009538
                      9,                0.83586,                0.52165,                0.85499,                 0.9068,                0.81593,                0.86848,                0.72003,                0.55152,                0.38192,                0.84283,               0.009472,               0.009472,               0.009472
                     10,                0.79502,                0.50217,                0.84691,                0.90203,                0.81797,                0.86301,                0.70455,                0.57689,                0.38617,                0.84021,               0.009406,               0.009406,               0.009406
                     11,                0.78207,                0.48987,                0.84152,                0.90567,                0.83922,                0.88036,                0.73279,                0.53337,                0.36573,                0.83299,                0.00934,                0.00934,                0.00934
                     12,                0.75875,                0.47991,                0.83794,                0.90984,                0.83042,                0.87339,                0.73476,                0.49842,                 0.3552,                0.82635,               0.009274,               0.009274,               0.009274
                     13,                0.73193,                0.46446,                0.83237,                0.90612,                0.79532,                0.85153,                0.67868,                0.59498,                0.40121,                0.85524,               0.009208,               0.009208,               0.009208
